feature_set,balance_mode,model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
clean_conservative,unbalanced,LogisticRegression,0.8330250455376433,0.8829470247305935,0.8639809201901866,0.8733451077280041,0.905245989364699
clean_conservative,unbalanced,RandomForest,0.9665409376190215,0.9793591223178728,0.9702332672850419,0.9747730474350627,0.9946213632302703
clean_conservative,unbalanced,GradientBoosting,0.9424205370617896,0.959529936168772,0.9538148536742043,0.9566594950870716,0.9862612864978244
clean_enriched,unbalanced,LogisticRegression,0.8589063884265803,0.9086667124912615,0.8763681500555606,0.8922148469188358,0.9303704222677901
clean_enriched,unbalanced,RandomForest,0.9651001249111151,0.9761247539942521,0.9713812438959497,0.9737462917304365,0.9944667255187614
clean_enriched,unbalanced,GradientBoosting,0.9421536632319512,0.9597623572429393,0.9531473468464702,0.956437439355956,0.9864657874085137
