feature_set,balance_mode,model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
clean_conservative,balanced,LogisticRegression,0.8269237338491149,0.9367183159112068,0.7939023571478513,0.8594008841063643,0.9052912096882355
clean_conservative,balanced,RandomForest,0.9611690034382594,0.9904926166530531,0.950851578933339,0.9702625769500501,0.9936910005732887
clean_conservative,balanced,GradientBoosting,0.9424205370617896,0.959529936168772,0.9538148536742043,0.9566594950870716,0.9862612864978244
clean_enriched,balanced,LogisticRegression,0.8445693107340944,0.9472848925361967,0.8119226146656287,0.8743814047073751,0.9299782827673869
clean_enriched,balanced,RandomForest,0.9607776709666505,0.9873647957117704,0.953334387454659,0.9700488077680568,0.9937487404748098
clean_enriched,balanced,GradientBoosting,0.9421536632319512,0.9597623572429393,0.9531473468464702,0.956437439355956,0.9864657874085137
