district_id,district_name,population_raster,origin_count,avg_total_travel_time_min_pw,pop_weighted_accessibility_score,avg_walk_time_to_stop_min_pw,pop_weighted_score_2sfca,pct_pop_access_30min,pct_pop_access_60min,pct_pop_access_threshold,pct_pop_score_below_50
13,Bou Chentouf,29411.693134999998,322,16.68622725639016,62.91949498579965,3.247585888192739,1.960248390740073e-05,100.0,100.0,100.0,0.0
14,El Maarif,137460.069669,1776,17.487151146346978,61.13966411922894,4.22608337771031,1.9602495114821188e-05,100.0,100.0,100.0,6.711655649684727
12,Ben Msick,84406.671275,479,18.007725390805742,59.98283246487613,2.8939444561053476,1.9602439272722465e-05,100.0,100.0,100.0,4.2631401969121185
22,Moulay Youssef,14125.6064325,503,18.34799541350611,59.573045204976985,4.2428282588706265,1.9602480978112444e-05,96.73815160289404,99.8517567999642,98.47114189729142,11.057618580581954
9,Al Idrissia,27723.010978,249,18.668948169831577,58.5134485114854,3.317015010613244,1.9602463130394054e-05,100.0,100.0,100.0,6.433635240470091
16,Hay Mohammadi,91473.884171,637,18.703663897842702,58.43630244923844,4.1811559919397485,1.9602414487308916e-05,100.0,100.0,100.0,14.308135167883645
26,Sidi Belyout,65050.004076,1167,19.51369632335738,56.636230392539154,4.370596964321111,1.96024938506451e-05,94.64925274265404,100.0,100.0,18.76636442749114
18,Machouar Casablanca,4614.288192,72,19.642455004856686,56.35009998920736,2.715975753389367,1.9602502098959882e-05,100.0,100.0,100.0,6.806416221347278
20,Mers Sultan,17214.407453,286,19.653535933658286,56.325475702981585,3.8439970899018054,1.9602503939169063e-05,100.0,100.0,100.0,25.780279472974776
15,Hay Hassani,133786.89033700002,2144,20.10069161143993,55.33179641902237,4.206409901364821,1.9602415893696255e-05,98.92193615430706,100.0,100.0,24.958434975871004
8,Al Fida,19259.64465,255,20.431797866162135,54.59600474186194,2.6665391401837466,1.9602488022189524e-05,100.0,100.0,100.0,14.906217192330182
30,Sidi Othmane,123411.351575,1004,20.7106841587286,53.97625742504756,4.300387942236199,1.9602406869246847e-05,94.63226628469896,100.0,100.0,31.76673979716927
11,Assoukhour Assawda,145178.090011,1207,21.39047392339558,52.465613503565386,4.280061040738979,1.9602454255866758e-05,94.80080330136035,100.0,100.0,33.18786554041959
10,Anfa,73818.451474,2543,21.488071254012066,52.24873054663985,4.789109404518115,1.9602416288034016e-05,84.11409596876963,100.0,100.0,30.40976595723704
27,Sidi Bernoussi,147840.284783,1996,21.78970976449135,51.59911856917556,5.049499862323967,1.9602232930195568e-05,96.92951595793869,100.0,99.63044918927075,40.77567666653458
21,Moulay Rachid,287983.912961,838,22.382281274071705,50.26159716872956,3.7667526783767746,1.9602373092017292e-05,94.57359042061621,100.0,100.0,48.496516388369805
5,Ain Chock,150071.381305,1666,22.428914078781542,50.1579687138188,6.114612304600374,1.9602442777972757e-05,88.75387556225706,100.0,100.0,44.307052421849505
7,Ain Sebaa,311440.39738800004,3150,22.45735348530508,50.09477003265536,4.626465159661834,1.96023639024207e-05,93.11171201362377,100.0,100.0,44.942409466753745
31,Tit Mellil,30178.901696999998,792,24.366928072335952,45.85127095036455,7.578305136863037,1.9602170673460065e-05,85.07378254607659,100.0,100.0,63.71710401214341
17,Lissasfa,98341.2998405,1495,25.460216509056295,43.588212571023114,6.553036021815986,1.9602360211503108e-05,75.74035658243878,100.0,97.12196485089127,60.96164633041644
29,Sidi Moumen,502005.666695,1468,26.246389253825726,41.674690547053935,4.539753605333156,1.9602299714423394e-05,85.0756871132056,100.0,100.0,86.89511117830271
25,Sbata,31374.653602000006,304,27.76938656751803,38.290252072182135,7.889049844332687,1.960238814245762e-05,67.87369803070119,100.0,100.0,86.05326957706691
28,Sidi Maarouf,96203.6147294,3400,30.93092612152848,33.08276652910155,8.478249072927387,1.9602344642347243e-05,58.14518432217008,98.87450511028553,88.55343976328292,80.05591999742559
4,Ahl Laghlam,264522.844526,1539,30.22579288438902,32.831571368024406,7.864657891761216,1.9602199933174423e-05,52.31103889444949,100.0,100.0,96.96333820850379
6,Ain Harrouda,188543.1518775,3755,34.83675904679756,27.11225640037857,9.063738242040213,1.9602056420838558e-05,45.470580849683394,96.70578533606174,76.46951595313054,90.03216923454711
24,Salmia,23639.685864699997,669,34.67957839273147,23.454243228526526,10.237208194225113,1.9602334463294408e-05,22.474519341788323,100.0,93.88781139491536,100.0
3,Mediouna,208139.6996428,2815,35.88967916500495,20.798964509208822,7.655114780807468,1.960228059864715e-05,13.818347420198615,100.0,92.71637802143603,99.94719377649308
32,Tit Mellil,367061.48912201,9571,41.211466189703984,18.541201130257168,11.864722398778186,1.960206968802697e-05,14.465359174291045,88.89509132047876,78.09138526227434,93.72054696717628
1,Bouskoura,334131.91160634,21033,54.27077849506475,15.072341118477073,12.513681830456937,1.9602046045301977e-05,22.18396946189606,59.933017054124505,46.13684760239911,92.54099208486761
33,Tit Mellil,31877.040624840003,13652,56.219640356558685,11.573904493122754,29.677525840037926,1.9602051626635638e-05,10.884719697587723,73.31203351928876,55.708526862001115,98.93340713461632
0,Bouskoura,139484.61624891,16026,52.92787028123935,5.974870570569587,16.970417198461213,1.9602234786173867e-05,1.619034570070481,75.98080614207389,39.55864153759766,100.0
2,Mediouna,60136.6679367,13111,62.212885214034614,1.7648236383373825,14.796938354187935,1.9602085322277428e-05,0.0,56.87937750823614,12.853287418810982,100.0
19,Mediouna,10246.191563999999,479,60.60163818164187,0.0,6.19089923683507,1.960203107973421e-05,0.0,52.755159437891606,0.0,100.0
23,Nouaceur,35058.564055380004,6704,103.16045318505256,0.0,21.40905698609614,1.960185531076392e-05,0.0,0.0,0.0,100.0
