cluster_id,stop_id,stop_key,stop_name,Lines,mode,latitude,longitude,x,y
41,cluster_41,cluster_41_casabus,ALLEE DES EUCALYBTUS,['L023'],casabus,33.6109583,-7.541652000000001,635291.8267824434,3719974.3912963555
42,cluster_42,cluster_42_casabus,ALLEE DES MIMOSAS,"['L023', 'L608']",casabus,33.60583790003966,-7.526871399938705,636671.2313692111,3719426.0378062245
43,cluster_43,cluster_43_casabus,ALLEE LES JARDINS,['L900'],casabus,33.61887445005124,-7.54039589990396,635395.9835988438,3720853.8176022335
44,cluster_44,cluster_44_casabus,AMGALA 1,['L065'],casabus,33.6168433,-7.4999219,639154.0335480288,3720682.297577357
45,cluster_45,cluster_45_casabus,AMGALA1,['L065'],casabus,33.6169522,-7.5002358000000005,639124.737131638,3720693.9508906696
46,cluster_46,cluster_46_casabus,ANAPEC SIDI MOUMEN,"['L043', 'L32D', 'L065']",casabus,33.580832950014525,-7.543532550056246,635164.3484808428,3716631.4924238883
47,cluster_47,cluster_47_casabus,ANGLE ALLEE DES CYPRES,"['L033', 'L082']",casabus,33.60389285004351,-7.546747900105759,634830.0386497466,3719184.2885881816
48,cluster_48,cluster_48_casabus,ANGLE AVENUE MEKNES,"['L006', 'L068']",casabus,33.5390181,-7.593080500000001,630628.7404072736,3711931.3577683
49,cluster_49,cluster_49_casabus,ANGLE AVENUE MEKNES,"['L006', 'L068']",casabus,33.5391718,-7.5927794,630656.467635265,3711948.7798930183
50,cluster_50,cluster_50_casabus,ANGLE BD ANFA/BDZERKTOUNI,"['L060', 'L038', 'L067']",casabus,33.58984225006136,-7.634900350064792,626671.3375396186,3717514.9571434264
51,cluster_51,cluster_51_casabus,ANGLE BD BALTI BEN MEKKI,"['L023', 'L900']",casabus,33.60330330000001,-7.5812864,631626.2577540632,3719074.455785276
52,cluster_52,cluster_52_casabus,ANGLE BD BALTI BEN MEKKI,"['L023', 'L900']",casabus,33.60342940000001,-7.580425099999999,631705.9825738947,3719089.534001769
53,cluster_53,cluster_53_casabus,ANGLE BD IFNI,"['L120', 'L062']",casabus,33.5840948,-7.597297800000001,630169.4830185501,3716924.298303895
54,cluster_54,cluster_54_casabus,ANGLE BD STENDAL / GHANDI,"['L063', 'L051']",casabus,33.566080300076436,-7.637222999989798,626490.4632197437,3714877.328845379
55,cluster_55,cluster_55_casabus,ANGLE BD TAHIRI EL BEKAY,['L900'],casabus,33.6156539,-7.551508100000001,634370.1056906952,3720482.219189845
56,cluster_56,cluster_56_casabus,ANGLE BD TAHIRI EL BEKAY,['L900'],casabus,33.61600909999999,-7.5517579,634346.3796602137,3720521.281117169
57,cluster_57,cluster_57_casabus,ANGLE BOULEVARD ABOU REGREG,"['L143', 'L050']",casabus,33.56582220000001,-7.676654,622830.6568398979,3714801.264159125
58,cluster_58,cluster_58_casabus,ANGLE BOULEVARD ABOU REGREG,"['L143', 'L050']",casabus,33.567038700000005,-7.6768778,622808.160098996,3714935.886550828
59,cluster_59,cluster_59_casabus,ANGLE BOULEVARD AL BINA,['L065'],casabus,33.625116850001234,-7.50514325001057,638656.3784208347,3721592.7069752277
60,cluster_60,cluster_60_casabus,ANGLE BOULEVARD AL HOUCEIMA,['L107'],casabus,33.549749999999996,-7.616644299999999,628424.8564189771,3713091.895820108
61,cluster_61,cluster_61_casabus,ANGLE BOULEVARD AL HOUCEIMA,['L107'],casabus,33.550292,-7.6159074,628492.469784551,3713152.907524957
62,cluster_62,cluster_62_casabus,ANGLE BOULEVARD C AIN SEBAA,['L900'],casabus,33.6227809,-7.5259892,636726.3225276764,3721305.9343905426
63,cluster_63,cluster_63_casabus,ANGLE BOULEVARD C AIN SEBAA,['L900'],casabus,33.62310179999999,-7.5264418,636683.8297876106,3721340.919414579
64,cluster_64,cluster_64_casabus,ANGLE BOULEVARD IFNI,"['L120', 'L062']",casabus,33.584354299999994,-7.5974301,630156.8150256907,3716952.906277101
65,cluster_65,cluster_65_casabus,ANGLE BOULEVARD MAADAN,['L900'],casabus,33.634003150006855,-7.50791834997339,638384.7349162807,3722574.3565955297
66,cluster_66,cluster_66_casabus,ANGLE BOULEVARD RAMALLAH,['L022'],casabus,33.533309,-7.613565200000001,628735.1079643709,3711272.6960120806
67,cluster_67,cluster_67_casabus,ANGLE BOULEVARD RAMALLAH,['L022'],casabus,33.5339624,-7.612790200000001,628806.1056104135,3711346.1090360577
68,cluster_68,cluster_68_casabus,ANGLE BOULEVARD TAH/ MOHAMED6,['L006'],casabus,33.5354271,-7.576947100000002,632132.2689502799,3711553.621387482
69,cluster_69,cluster_69_casabus,ANGLE CHEMIN DES PIVOINES,['L065'],casabus,33.58894030006734,-7.54579115008201,634942.1019830508,3717527.5263053826
70,cluster_70,cluster_70_casabus,ANGLE MOHAMED 6/11 JANVIER,['L906'],casabus,33.697507150033694,-7.365999249915719,651437.1477249488,3729815.240533713
71,cluster_71,cluster_71_casabus,ANGLE N9 / P3015,['L120'],casabus,33.5109808,-7.498043100000001,639498.5004385291,3708946.2528062505
72,cluster_72,cluster_72_casabus,ANGLE N9 / P3015,['L120'],casabus,33.51110740000001,-7.497619100000002,639537.6809186119,3708960.8609508695
73,cluster_73,cluster_73_casabus,ANGLE N9 / P3016,['L120'],casabus,33.527964399999995,-7.4946249,639788.6744046495,3710834.070900716
74,cluster_74,cluster_74_casabus,ANGLE N9 / P3016,['L120'],casabus,33.52817579999999,-7.4943453,639814.3000016646,3710857.8888427415
75,cluster_75,cluster_75_casabus,ANGLE OUED DAHAB / AL JOULANE,"['L063', 'L064', 'L067']",casabus,33.5461329,-7.564226100000001,633297.0868046314,3712757.0012834426
76,cluster_76,cluster_76_casabus,ANGLE OUED DAHAB / AL JOULANE,"['L063', 'L064', 'L067']",casabus,33.546548,-7.564309,633288.7522614782,3712802.922422524
77,cluster_77,cluster_77_casabus,ANGLE POMME D'OR,['L107'],casabus,33.54971070000171,-7.62019370000748,628095.378214298,3713083.145750283
78,cluster_78,cluster_78_casabus,ANGLE ROUTE N1/P3032,['L306'],casabus,33.509078550011765,-7.705281399951264,620251.8957821934,3708475.9091959535
79,cluster_79,cluster_79_casabus,ANGLE RUE BEN LARBI,"['L97B', 'L013', 'L050', 'L09E']",casabus,33.579653699999994,-7.6541056,624903.7832872294,3716361.8938102312
80,cluster_80,cluster_80_casabus,ANGLE RUE BEN LARBI,"['L97B', 'L013', 'L050', 'L09E']",casabus,33.5799482,-7.6539647,624916.435859889,3716394.7186262603
81,cluster_81,cluster_81_casabus,ANGLE RUE DE DAX,"['L023', 'L900']",casabus,33.59983000004079,-7.589352449957288,630883.090359067,3718679.093376334
82,cluster_82,cluster_82_casabus,ANGLE RUE DE FLORENCE,"['L056', 'L040', 'L090']",casabus,33.58351439999999,-7.6121334,628793.5094811616,3716841.3909765473
83,cluster_83,cluster_83_casabus,ANGLE RUE DE FLORENCE,"['L056', 'L040', 'L090']",casabus,33.58366909999999,-7.612449600000002,628763.9341597384,3716858.1513834866
84,cluster_84,cluster_84_casabus,ANGLE RUE DE LA VICTOIRE,"['L023', 'L900']",casabus,33.601405400100845,-7.585566099966999,631232.0373929547,3718858.574296836
85,cluster_85,cluster_85_casabus,ANGLE RUE ENNAKHIL,['L007'],casabus,33.5533734,-7.6440311,625876.9382296333,3713460.067470085
86,cluster_86,cluster_86_casabus,ANGLE RUE ENNAKHIL,"['L306', 'L007', 'L051']",casabus,33.5537971,-7.644282700000001,625852.965515635,3713506.7426716057
87,cluster_87,cluster_87_casabus,ANGLE RUE MAAMOURA,"['L023', 'L900']",casabus,33.605585300018824,-7.575439049963113,632165.3275461479,3719334.9456326356
88,cluster_88,cluster_88_casabus,ANGLE RUE RIF,['L906'],casabus,33.699105750030505,-7.392924550024478,648938.7294908809,3729953.3359221425
89,cluster_89,cluster_89_casabus,ANGLE RUE SOURZAC,"['L033', 'L139', 'L082']",casabus,33.5983504000264,-7.581116750059907,631649.5269792692,3718525.4736411353
90,cluster_90,cluster_90_casabus,ANGLE RUE TAMASKIN,"['L019', 'L020', 'L97B', 'L143', 'L013', 'L068', 'L050', 'L09E', 'L063']",casabus,33.575194999999994,-7.6625464999999995,624126.7657387982,3715857.3549882923
91,cluster_91,cluster_91_casabus,ANGLE RUE TIZNIT,"['L32D', 'L800', 'L904', 'L900']",casabus,33.68499205002686,-7.402870549928768,648041.0795781943,3728373.973836156
92,cluster_92,cluster_92_casabus,ANNEXE FARAH SALAM,['L084'],casabus,33.5400886,-7.691138500000002,621522.1719003784,3711930.810014992
93,cluster_93,cluster_93_casabus,ANNEXE FARAH SALAM,['L084'],casabus,33.5403764,-7.6910331,621531.5556218517,3711962.8451473434
94,cluster_94,cluster_94_casabus,AQUAPARC,['L301'],casabus,33.523139,-7.786701,612671.0500946281,3709943.525998861
95,cluster_95,cluster_95_casabus,AQUAPARC A,['L301'],casabus,33.523285099999995,-7.785992200000001,612736.6859403636,3709960.4956220025
96,cluster_96,cluster_96_casabus,ARCHIVE I,"['L031', 'L007']",casabus,33.51293470002353,-7.655987150039139,624825.0720446024,3708961.701815867
97,cluster_97,cluster_97_casabus,ARRET BATA,"['L039', 'L055', 'L090', 'L043']",casabus,33.58531180002482,-7.577508450096609,632004.2095087807,3717084.296194698
98,cluster_98,cluster_98_casabus,ARRET BEAULIEU,"['L033', 'L082']",casabus,33.60440765000089,-7.539128349989229,635536.2203649802,3719251.3248089976
99,cluster_99,cluster_99_casabus,ARRET BENJDIA,"['L056', 'L040', 'L090']",casabus,33.584945050006525,-7.607130549955814,629255.6741707185,3717006.2597810784
100,cluster_100,cluster_100_casabus,ARRET BRADAA,"['L905', 'L900']",casabus,33.699930300067294,-7.370539149984997,651012.1104404515,3730077.292974068
101,cluster_101,cluster_101_casabus,ARRET CARDO,['L312'],casabus,33.424691450061125,-7.524356599935122,637190.2698720507,3699343.1618425357
102,cluster_102,cluster_102_casabus,ARRET CASCADE 1,['L902'],casabus,33.64351395000357,-7.408257800022018,647612.5237608955,3723766.815627888
103,cluster_103,cluster_103_casabus,ARRET CHAABI 1,['L312'],casabus,33.3717377,-7.544577600000002,635392.2840975983,3693445.0797750126
104,cluster_104,cluster_104_casabus,ARRET CHAABI 1,['L312'],casabus,33.372041399999986,-7.5446699000000015,635383.2264506068,3693478.634316604
105,cluster_105,cluster_105_casabus,ARRET CHTAIBA,"['L120', 'L062']",casabus,33.565383700000005,-7.5713302,632608.0623703941,3714882.4847878614
106,cluster_106,cluster_106_casabus,ARRET CMC,['L007'],casabus,33.58779650000001,-7.6274868,627362.3192490514,3717297.2129040845
107,cluster_107,cluster_107_casabus,ARRET CMC,['L007'],casabus,33.5891961,-7.6263578,627465.0338561541,3717453.7941636406
108,cluster_108,cluster_108_casabus,ARRET EL BIR,['L312'],casabus,33.39248049999999,-7.6021358,630006.5564457731,3695671.6841367697
109,cluster_109,cluster_109_casabus,ARRET EL BIR,['L312'],casabus,33.39278479999999,-7.6019622,630022.2499557941,3695705.641854591
110,cluster_110,cluster_110_tram,Avenue Hassan II,"['L006', 'T1', 'L056', 'L040']",tram,33.584097100008925,-7.623026599970159,627781.6889955855,3716892.5072658095
110,cluster_110,cluster_110_casabus,Avenue Hassan II,"['L006', 'T1', 'L056', 'L040']",casabus,33.584097100008925,-7.623026599970159,627781.6889955855,3716892.5072658095
111,cluster_111,cluster_111_casabus,ARRET ISCAE,['L310'],casabus,33.526762899999994,-7.6357358,626685.8880421835,3710519.546259492
112,cluster_112,cluster_112_casabus,ARRET KM15,['L800'],casabus,33.632336099999996,-7.471064799999999,641805.8025248455,3722439.4299396137
113,cluster_113,cluster_113_casabus,ARRET KM15,['L800'],casabus,33.63238419999998,-7.470185400000001,641887.2938399997,3722445.9698193423
114,cluster_114,cluster_114_casabus,ARRET KOREA,"['L079', 'L109']",casabus,33.562236999999996,-7.595775400000001,630343.626360832,3714502.546527329
115,cluster_115,cluster_115_casabus,ARRET KOREA,"['L079', 'L109']",casabus,33.562522,-7.5959144,630330.2947969625,3714533.9733785917
116,cluster_116,cluster_116_casabus,ARRET L'AUBERGE 1,['L900'],casabus,33.65139755005223,-7.476517399877146,641268.8945960727,3724545.6301139635
117,cluster_117,cluster_117_casabus,ARRET LAARJA,"['L800', 'L904']",casabus,33.659777050045946,-7.438649800014683,644766.5641268883,3725527.2134374683
118,cluster_118,cluster_118_casabus,ARRET LAMJADBA 1,['L903'],casabus,33.61422290000636,-7.360776199975877,652067.7375701779,3720587.568934993
119,cluster_119,cluster_119_casabus,ARRET LFARFARA,"['L050', 'L051']",casabus,33.54317180010094,-7.710343999990191,619734.6520071627,3712250.3310186523
120,cluster_120,cluster_120_casabus,ARRET MDAKRA,"['L039', 'L043']",casabus,33.5816649000151,-7.5625784999374215,633395.4033783406,3716699.0459354715
121,cluster_121,cluster_121_casabus,ARRET METRO,"['L107', 'L031', 'L007', 'L300']",casabus,33.538383599999996,-7.643208499999999,625975.0614491339,3711798.9672423187
122,cluster_122,cluster_122_casabus,ARRET PALMERIE 1,['L309'],casabus,33.48654615000471,-7.60060200003836,630008.8093602606,3706103.697305006
123,cluster_123,cluster_123_casabus,ARRET PERLA,['L312'],casabus,33.39254325000884,-7.56083989994369,633847.4484965088,3695730.989755838
124,cluster_124,cluster_124_casabus,ARRET RACHAD,"['L038', 'L97B', 'L097', 'L143', 'L067', 'L051', 'L060', 'L022', 'L063']",casabus,33.56646115009423,-7.609295500025493,629082.2731590894,3714954.0061141793
125,cluster_125,cluster_125_casabus,ARRET TADLA,['L907'],casabus,33.6890681,-7.392106699999999,649031.8660695173,3728841.4469347293
126,cluster_126,cluster_126_casabus,ARRET TADLA,['L907'],casabus,33.6891901,-7.3917918,649060.8457008972,3728855.429982041
127,cluster_127,cluster_127_casabus,ARRET TAJ 1,['L312'],casabus,33.38622925000536,-7.558438599962487,634080.4932066642,3695033.9780596616
128,cluster_128,cluster_128_casabus,TIKIOUIN,['L039'],casabus,33.57796190001938,-7.553320100090683,634260.406875505,3716300.406148449
129,cluster_129,cluster_129_casabus,ARRET TIYANA 1,['L312'],casabus,33.44406045001352,-7.519707799977578,637591.9264701956,3701496.988080362
130,cluster_130,cluster_130_casabus,ARRONDISSEMENT GHANDI,"['L019', 'L020', 'L143', 'L068', 'L063']",casabus,33.57550100000483,-7.6518262500335315,625121.3237396237,3715904.183693456
131,cluster_131,cluster_131_casabus,ARRONDISSEMENT LAYMOUNE,"['L97B', 'L013']",casabus,33.5377127,-7.6685707,623621.0250322131,3711694.047989197
132,cluster_132,cluster_132_casabus,ARRONDISSEMENT LAYMOUNE,"['L97B', 'L013']",casabus,33.53797410000001,-7.6680424,623669.7079542078,3711723.6624430497
133,cluster_133,cluster_133_casabus,ARRONDISSEMENT SALAM II,['L608'],casabus,33.58486660001235,-7.480071750057821,641047.6569392955,3717163.4030701392
134,cluster_134,cluster_134_casabus,ASSOCIATION BAYTI,['L800'],casabus,33.61983020000001,-7.4908789,639988.1475425502,3721025.7033388885
135,cluster_135,cluster_135_casabus,ASSOCIATION BAYTI,['L800'],casabus,33.6199373,-7.4912112,639957.1469644853,3721037.129622392
136,cluster_136,cluster_136_casabus,ATLANTA SPORT,"['L09E', 'L109']",casabus,33.53962610000262,-7.681533949991192,622414.6268508802,3711890.826834951
137,cluster_137,cluster_137_casabus,AUDA ANFA,['L109'],casabus,33.561412,-7.6699889,623455.620098778,3714320.174932011
138,cluster_138,cluster_138_casabus,AUTOROUTE A7,['L309'],casabus,33.48202169999998,-7.629021200000001,627374.992835951,3705566.7929555327
139,cluster_139,cluster_139_casabus,AUTOROUTE A7,['L309'],casabus,33.482390800000005,-7.6288971,627385.9831910845,3705607.87146485
140,cluster_140,cluster_140_casabus,AV 10 MARS,['L056'],casabus,33.555367299999986,-7.5571919,633935.9415502846,3713790.014119592
141,cluster_141,cluster_141_casabus,AV 10 MARS,['L056'],casabus,33.5556457,-7.5571008,633943.9692669064,3713821.0019197683
142,cluster_142,cluster_142_casabus,AVENUE 6 NOVEMBRE 1975,"['L039', 'L097', 'L97B']",casabus,33.55170379999999,-7.587151800000001,631160.0769485882,3713345.473039574
143,cluster_143,cluster_143_casabus,AVENUE 6 NOVEMBRE 1975,"['L039', 'L097', 'L97B']",casabus,33.552,-7.5871501,631159.7870697211,3713378.3187871305
144,cluster_144,cluster_144_casabus,AVENUE ABOU BAKR EL KADIRI,"['L107', 'L300']",casabus,33.52759010000253,-7.649507899983227,625405.7197823343,3710594.528982586
145,cluster_145,cluster_145_casabus,AVENUE DES FAR,"['L055', 'L033', 'L023', 'L082', 'L011', 'L120', 'L043', 'L062', 'L139']",casabus,33.5968,-7.613134100000001,628680.9060617276,3718313.2984916144
146,cluster_146,cluster_146_casabus,AVENUE HACHMI FILALI,['L309'],casabus,33.524362199999985,-7.6166775,628459.3307167473,3710276.7950682603
147,cluster_147,cluster_147_casabus,AVENUE HACHMI FILALI,['L309'],casabus,33.524488299999994,-7.617004100000001,628428.8129439794,3710290.372830593
148,cluster_148,cluster_148_casabus,AVENUE JOUDAR,['L065'],casabus,33.56139315004013,-7.525561800069062,636862.9094996769,3714499.5171611523
149,cluster_149,cluster_149_casabus,AVENUE MOHAMED BOUZIANE,"['L039', 'L120', 'L079']",casabus,33.563909450021185,-7.556696849908918,633968.7081432403,3714737.840819115
150,cluster_150,cluster_150_casabus,AVENUE PASTEUR,"['L033', 'L023', 'L082', 'L900', 'L139']",casabus,33.5959919,-7.6019597,629719.0173751028,3718237.640314684
151,cluster_151,cluster_151_casabus,AVENUE PASTEUR,"['L033', 'L023', 'L082', 'L900', 'L139']",casabus,33.596227,-7.602487700000001,629669.6704924235,3718263.047541313
152,cluster_152,cluster_152_casabus,AVENUE REDA GUEDIRA,"['L039', 'L097', 'L97B']",casabus,33.55550390001845,-7.57365205007084,632407.612123482,3713784.0077155354
153,cluster_153,cluster_153_casabus,AVENUE TADDART,['L309'],casabus,33.53973299999999,-7.617909300000002,628322.2184206167,3711979.6192400157
154,cluster_154,cluster_154_casabus,AVENUE TADDART,['L309'],casabus,33.5404795,-7.6183981,628275.7285935004,3712061.788032332
155,cluster_155,cluster_155_casabus,AZBANE 1,"['L107', 'L306', 'L307', 'L051']",casabus,33.536480299999994,-7.6651715,623938.4167331399,3711561.4558056765
156,cluster_156,cluster_156_casabus,AZBANE 1,"['L107', 'L306', 'L307', 'L051']",casabus,33.5369043,-7.6652872,623927.0680883961,3711608.3312617918
