district_id,district_name,population_raster,origin_count,avg_walk_time_to_stop_min_pw,avg_total_travel_time_min_pw,pop_weighted_accessibility_score,pop_weighted_score_2sfca,pct_pop_access_threshold,pct_pop_score_below_50
13,Bou Chentouf,29411.693359375,322.0,3.833671833963298,17.988766566537237,70.01872230046838,5.7727085746983764e-05,99.99999948119991,0.0
14,El Maarif,137460.0625,1776.0,4.482419144011954,18.00769851999898,69.98716910100642,6.882730630174755e-05,99.9435191312075,0.05648607216375859
16,Hay Mohammadi,91473.8828125,637.0,4.841141452032811,19.447728212832484,67.58711955755618,2.7747491500815152e-05,98.81465028213873,1.1853511732814446
22,Moulay Youssef,14125.6064453125,503.0,4.799535291970266,20.00230130915776,66.66882780602008,7.535509653849153e-05,95.93552040969912,4.064479549792559
12,Ben Msick,84406.671875,479.0,3.1537771224481523,20.237733319323965,66.2704444808722,3.478167104320164e-05,99.77350714688903,0.2264921480804798
20,Mers Sultan,17214.408203125,286.0,4.421336671899859,20.335551410449106,66.10741440405415,6.905237963936148e-05,99.99999554585821,0.0
9,Al Idrissia,27723.01171875,249.0,3.7388087718475833,20.674167433406488,65.54305426151336,4.151431344187877e-05,99.99999735807248,0.0
26,Sidi Belyout,65050.0078125,1167.0,4.660946717287567,20.981568021549887,65.03071990372878,6.893197734905247e-05,92.6940697362869,7.305924402391862
11,Assoukhour Assawda,145178.09375,1207.0,4.551922833666274,22.007445452522788,63.32092431931193,4.12890610355155e-05,94.98608572584212,5.0139114560586036
10,Anfa,73818.453125,2543.0,5.318310922247886,22.05192371871413,63.2467937974195,6.437222912551095e-05,87.21197393155761,12.788024505220896
15,Hay Hassani,133786.890625,2144.0,4.583876893585078,22.342359912684877,62.76273350873199,5.2132884350952774e-05,96.85424808921715,3.1457517967298974
18,Machouar Casablanca,4614.2880859375,72.0,3.543391802190494,22.47439256682178,62.542679106260664,6.75651090141154e-05,100.00000223212821,0.0
30,Sidi Othmane,123411.359375,1004.0,4.879013011447853,23.060276118161678,61.56620650958188,2.4618227544568437e-05,87.19099030476445,12.80900293821717
27,Sidi Bernoussi,147840.28125,1996.0,5.703947908968608,23.331874774663763,61.11354210866374,1.3752161583970899e-05,86.31306843221164,13.686933364955298
8,Al Fida,19259.64453125,255.0,3.3060782069059296,23.41269964861275,60.978833806974926,5.993344652180572e-05,100.00000065362063,0.0
7,Ain Sebaa,311440.40625,3150.0,5.200536925219243,24.278308050980815,59.536153270146734,1.984260883658935e-05,85.62337265146083,14.376624320082103
21,Moulay Rachid,287983.90625,838.0,4.543552035041434,25.60767865187367,57.3205356174454,1.955423457319688e-05,77.51896828843398,22.481034638979935
5,Ain Chock,150071.390625,1666.0,6.5287070117166,26.240350043205172,56.26608326956464,2.497261983958708e-05,75.00189127109712,24.998102465607776
17,Lissasfa,98341.296875,1495.0,7.6868157083617525,27.558103750667094,54.06982706425634,2.1801556174528267e-05,66.46765663048097,33.532346612395635
31,Tit Mellil,30178.90234375,792.0,8.504975079124671,28.38793938828792,52.68676778935987,3.133191031165824e-06,52.41740982229739,47.582586603663906
29,Sidi Moumen,502005.6875,1468.0,5.28424380316105,29.93074454830994,50.1154257824902,1.2613108598086296e-05,51.001077075594566,48.99891883695043
32,Tit Mellil,367061.5,9571.0,13.289636296309942,36.04830087840134,43.101165561213406,5.341439150831204e-06,47.52401577651842,52.475981545326874
25,Sbata,31374.654296875,304.0,11.51640581972706,35.28404240864748,42.15574324053777,9.11214804091385e-06,26.96066228045077,73.03933814509784
28,Sidi Maarouf,96203.625,3400.0,9.0418982841565,35.027306091407375,41.769360473025465,1.0149013532108033e-05,33.490006602854166,66.50997591047116
4,Ahl Laghlam,264522.84375,1539.0,9.015011087286279,36.276263722781735,39.53956045797449,4.627658907917652e-06,10.648765050300547,89.35123277987215
6,Ain Harrouda,188543.15625,3755.0,9.622213856148747,36.70126378096388,38.8901688091571,5.138560853013609e-06,30.17794243891266,69.82206162680593
3,Mediouna,208139.703125,2815.0,7.969018034289358,39.57206936685944,34.04655107155683,4.187060129431307e-06,1.2940449448957614,98.70594727504611
1,Bouskoura,334131.90625,21033.0,12.786874823114418,57.57713834111778,22.86216219010116,9.333621479392356e-06,18.79963941584758,81.2003605237864
33,Tit Mellil,31877.04296875,13652.0,30.773949345461837,63.08766290887374,17.42452073297702,6.507790978429152e-07,2.626820209121209,97.37317693976232
0,Bouskoura,139484.625,16026.0,17.594319066853675,58.057077687626375,14.172075670512239,4.513183278563885e-06,0.37629456240984704,99.62370404623448
24,Salmia,23639.685546875,669.0,15.41553540608052,65.43940004920294,11.549074954941041,8.710674825142702e-07,0.0,100.0
2,Mediouna,60136.66796875,13111.0,16.7013379513248,71.19436358852936,3.286838094483593,2.3437748106909574e-07,0.0,100.0
23,Nouaceur,35058.56640625,6704.0,21.5884062295005,110.37131431266745,0.0,3.9511821670018955e-10,0.0,100.0
19,Mediouna,10246.19140625,479.0,6.844068810259647,67.3638830491505,0.0,7.605055937057964e-08,0.0,100.0
