name,latitude,longitude,nearest_stop_dist_m,nearest_stop_name,nearest_stop_mode,stops_within_500m,unique_lines_500m,accessibility_score,access_tier
Hopital 20 Aout,33.574652934552425,-7.619653458168499,182.05541489201488,HOPITAL 20 AOUT,casabus,9,8,60.17152083961891,Good
Polyclinique de la Sécurité sociale,33.57085276501952,-7.622950527578939,135.14664027071845,LYCEE LAHLOU,casabus,9,9,65.77754598093915,Good
Clinique El Amine,33.57041568223584,-7.620489196179961,275.6962006107807,Hermitage,tram,6,8,43.16623034659335,Moderate
Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan,33.55242937139909,-7.6683673842327,101.13217970503558,HOPITAL CHEIKH KHALIFA,casabus,3,2,40.982113690671405,Moderate
Clinical Abbadi,33.56966106189876,-7.661638730921235,88.84794691231868,CLINIQUE ABBADI,casabus,6,3,52.28566923993485,Good
Clinique CIL,33.569146679299365,-7.660837763378024,29.423127509353613,CLINIQUE ABBADI,casabus,6,4,58.99509803921569,Good
International Clinic,33.56944737439043,-7.618755862439232,83.87442382924212,Hermitage,tram,3,7,49.85648366463492,Moderate
Clinique Riviera,33.56669850001627,-7.638882850027072,168.64993589879668,ANGLE BD STENDAL / GHANDI,casabus,5,6,46.745493109376234,Moderate
Cinique Al Karim Medecine Physique,33.561652609656235,-7.617353722887663,184.4053563012769,CLINIQUE DAR SALAM,casabus,3,6,39.52317557152282,Moderate
Cinique Multidisciplinaire,33.56314485869003,-7.635495524635421,151.51439231638778,ECOLE EL OUADGHIRI,casabus,7,8,57.03065758095014,Good
Clinique Californie,33.546672268691346,-7.6308459270772016,108.29465539149984,BOULEVARD DE LA MECQUE,casabus,4,5,47.679107415755816,Moderate
Hopital Sidi Othmane,33.55854720556028,-7.5730264646667935,106.87760592011018,4EME ARRONDISSEMENT,casabus,11,9,74.10305287657549,Good
Hôpital Sekkat,33.54605773943877,-7.588622488077647,369.55742869745325,TERMINUS JAMILA II,casabus,8,11,45.136603884727336,Moderate
HOPITAL UNIVERSITAIRE DE PROXIMITE,33.54050707960877,-7.597637266137161,111.2612213517545,POLYCLINIQUE CNSS INARA,casabus,6,8,57.662675571591684,Good
Centre de Santé Derb el Kheir,33.5498334343254,-7.591374791701641,90.82407673323885,MOSQUEE YACOUT,casabus,8,7,63.82714162251276,Good
Polyclinique CNSS Sidi Bernoussi,33.61074841298405,-7.500801741294186,99.8796883456243,POLYCLINIQUE CNSS BERNOUSSI,casabus,9,7,65.94547341961973,Good
Clinique Ain Chock,33.54914320176087,-7.602540026227011,31.172343176121327,CLINIQUE AIN CHOC,casabus,8,10,73.49775144750308,Good
Ajial Hôpital Pédiatrique,33.55210972506478,-7.608269259633504,136.8126095963912,PANORAMIQUE,casabus,5,7,51.02283243213939,Good
Centre Hospitalier Préfectoral de Ben M'Sick,33.55233793198779,-7.577997816932463,77.72708771555763,RUE BEN KACEM ADDAHMANI,casabus,4,3,47.432741212864336,Moderate
Polyclinique CNSS Hay Hassani,33.56712676339928,-7.668455630399424,79.3407536332444,POLYCLINIQUE CNSS OUM RABIA,casabus,9,9,70.69734456952445,Good
Hôpital Municipal sidi moumen Tacharouk,33.57527123070483,-7.524914619282542,141.50304701727907,Attacharouk,tram,4,3,41.810307927348056,Moderate
Clinique Adoha,33.59704415596668,-7.522044369876583,192.05535647048785,BOULEVARD IMAM ALI,casabus,1,5,31.544836619660245,Moderate
Hôpital général de Casablanca Azhar-Bernoussi,33.59923321543063,-7.483485369743223,108.19801217479892,BOULEVARD AL MAGHRIB AL ARABI,casabus,7,2,52.02586269207911,Good
Clinique Al Amal,33.57255343106101,-7.553163115267273,96.14479177363503,HAY SADRI,casabus,1,3,37.05905238916478,Moderate
Complexe Medico-Social Al Wouroud,33.5604183443511,-7.609498781254182,127.97224467633512,MOSQUEE SONNA,casabus,6,16,67.95415212421152,Good
Clinique Les Crêtes,33.54951355000996,-7.62409200000114,90.63311729974185,KRIMATE,casabus,6,2,50.65770193082576,Good
hopital hassani,33.5584440469472,-7.68731139737092,219.06298661747047,COLLEGE MOULOUYA,casabus,8,6,51.05112226041526,Good
ATLANTIC CLINIC CASABLANCA,33.591292580511514,-7.5903533304946915,200.4421711296902,Casa Voyageurs,tram,4,4,38.08487407442796,Moderate
Clinique Al Mouahhidine,33.580251571665066,-7.566585414833268,183.4457069638245,Hay Adil,tram,8,6,54.19111075853882,Good
Clinique Taha,33.55592913515372,-7.625772247092183,340.7007116734113,LES JARDINS DE BALI,casabus,6,6,34.494312532262114,Moderate
HGC Hôpital Général de Casablanca,33.59840290086962,-7.488992379115019,66.5946905623782,BACHAOUIAT AL AZHAR,casabus,6,2,52.776908793402114,Good
Hôpital AL mansour,33.60752031789352,-7.50316335979685,66.63169129631972,HOPITAL EL MANSOUR,casabus,7,7,63.04325468391052,Good
Clinique Jerrada Oasis,33.55639592548778,-7.632356354256379,164.2811204440498,GARE ONCF DE L'OASIS,casabus,8,5,54.410055857305096,Good
Clinique Al Wafaa,33.572502133136695,-7.546941357778492,371.7817664868925,BOUZIANE,casabus,5,5,27.366978781694257,Moderate
Centre de Santé Al Massira 2 (Niveau 2),33.55910413132996,-7.609979730290242,275.6858017400835,HOPITAL BOUAFI,casabus,5,14,49.07400984711741,Moderate
Hôpital Moulay Youssef,33.602689403020634,-7.632351824576385,78.16334549898221,TERMINUS HOPITAL SOFI,casabus,7,9,64.96781051662835,Good
Hôpital Mohammed V,33.589365908252454,-7.551654023582984,483.14809720183223,RESIDENCE ELMOUAHIDINE,casabus,1,1,0.0,
