stop_name,primary_mode,num_lines,latitude,longitude,health_facilities_500m
ANGLE RUE DE DAX,casabus,2,33.59983000004079,-7.589352449957288,0
ANGLE RUE DE FLORENCE,casabus,3,33.58351439999999,-7.6121334,1
ANGLE RUE DE FLORENCE,casabus,3,33.58366909999999,-7.612449600000002,1
ANGLE RUE DE LA VICTOIRE,casabus,2,33.601405400100845,-7.585566099966999,0
ANGLE RUE ENNAKHIL,casabus,1,33.5533734,-7.6440311,0
ANGLE RUE ENNAKHIL,casabus,3,33.5537971,-7.644282700000001,0
ANGLE RUE MAAMOURA,casabus,2,33.605585300018824,-7.575439049963113,0
ANGLE RUE RIF,casabus,1,33.699105750030505,-7.392924550024478,0
ANGLE RUE SOURZAC,casabus,3,33.5983504000264,-7.581116750059907,0
ANGLE RUE TAMASKIN,casabus,9,33.575194999999994,-7.6625464999999995,0
ANGLE RUE TIZNIT,casabus,4,33.68499205002686,-7.402870549928768,0
ANNEXE FARAH SALAM,casabus,1,33.5400886,-7.691138500000002,0
ANNEXE FARAH SALAM,casabus,1,33.5403764,-7.6910331,0
AQUAPARC,casabus,1,33.523139,-7.786701,0
AQUAPARC A,casabus,1,33.523285099999995,-7.785992200000001,0
ARCHIVE I,casabus,2,33.51293470002353,-7.655987150039139,0
ARRET BATA,casabus,4,33.58531180002482,-7.577508450096609,0
ARRET BEAULIEU,casabus,2,33.60440765000089,-7.539128349989229,0
ARRET BENJDIA,casabus,3,33.584945050006525,-7.607130549955814,0
ARRET BRADAA,casabus,2,33.699930300067294,-7.370539149984997,0
ARRET CARDO,casabus,1,33.424691450061125,-7.524356599935122,0
ARRET CASCADE 1,casabus,1,33.64351395000357,-7.408257800022018,0
ARRET CHAABI 1,casabus,1,33.3717377,-7.544577600000002,0
ARRET CHAABI 1,casabus,1,33.372041399999986,-7.5446699000000015,0
ARRET CHTAIBA,casabus,2,33.565383700000005,-7.5713302,0
ARRET CMC,casabus,1,33.58779650000001,-7.6274868,1
ARRET CMC,casabus,1,33.5891961,-7.6263578,3
ARRET EL BIR,casabus,1,33.39248049999999,-7.6021358,0
ARRET EL BIR,casabus,1,33.39278479999999,-7.6019622,0
Avenue Hassan II,tram,4,33.584097100008925,-7.623026599970159,1
ARRET ISCAE,casabus,1,33.526762899999994,-7.6357358,0
ARRET KM15,casabus,1,33.632336099999996,-7.471064799999999,0
ARRET KM15,casabus,1,33.63238419999998,-7.470185400000001,0
ARRET KOREA,casabus,2,33.562236999999996,-7.595775400000001,0
ARRET KOREA,casabus,2,33.562522,-7.5959144,0
ARRET L'AUBERGE 1,casabus,1,33.65139755005223,-7.476517399877146,0
ARRET LAARJA,casabus,2,33.659777050045946,-7.438649800014683,0
ARRET LAMJADBA 1,casabus,1,33.61422290000636,-7.360776199975877,0
ARRET LFARFARA,casabus,2,33.54317180010094,-7.710343999990191,0
ARRET MDAKRA,casabus,2,33.5816649000151,-7.5625784999374215,1
ARRET METRO,casabus,4,33.538383599999996,-7.643208499999999,0
ARRET PALMERIE 1,casabus,1,33.48654615000471,-7.60060200003836,0
ARRET PERLA,casabus,1,33.39254325000884,-7.56083989994369,0
ARRET RACHAD,casabus,9,33.56646115009423,-7.609295500025493,0
ARRET TADLA,casabus,1,33.6890681,-7.392106699999999,0
ARRET TADLA,casabus,1,33.6891901,-7.3917918,0
ARRET TAJ 1,casabus,1,33.38622925000536,-7.558438599962487,0
TIKIOUIN,casabus,1,33.57796190001938,-7.553320100090683,1
ARRET TIYANA 1,casabus,1,33.44406045001352,-7.519707799977578,0
ARRONDISSEMENT GHANDI,casabus,5,33.57550100000483,-7.6518262500335315,0
ARRONDISSEMENT LAYMOUNE,casabus,2,33.5377127,-7.6685707,0
ARRONDISSEMENT LAYMOUNE,casabus,2,33.53797410000001,-7.6680424,0
ARRONDISSEMENT SALAM II,casabus,1,33.58486660001235,-7.480071750057821,0
ASSOCIATION BAYTI,casabus,1,33.61983020000001,-7.4908789,0
ASSOCIATION BAYTI,casabus,1,33.6199373,-7.4912112,0
ATLANTA SPORT,casabus,2,33.53962610000262,-7.681533949991192,0
AUDA ANFA,casabus,1,33.561412,-7.6699889,0
AUTOROUTE A7,casabus,1,33.48202169999998,-7.629021200000001,0
AUTOROUTE A7,casabus,1,33.482390800000005,-7.6288971,0
AV 10 MARS,casabus,1,33.555367299999986,-7.5571919,0
AV 10 MARS,casabus,1,33.5556457,-7.5571008,0
AVENUE 6 NOVEMBRE 1975,casabus,3,33.55170379999999,-7.587151800000001,1
AVENUE 6 NOVEMBRE 1975,casabus,3,33.552,-7.5871501,1
AVENUE ABOU BAKR EL KADIRI,casabus,2,33.52759010000253,-7.649507899983227,0
AVENUE DES FAR,casabus,9,33.5968,-7.613134100000001,0
AVENUE HACHMI FILALI,casabus,1,33.524362199999985,-7.6166775,0
AVENUE HACHMI FILALI,casabus,1,33.524488299999994,-7.617004100000001,0
AVENUE JOUDAR,casabus,1,33.56139315004013,-7.525561800069062,0
AVENUE MOHAMED BOUZIANE,casabus,3,33.563909450021185,-7.556696849908918,0
AVENUE PASTEUR,casabus,5,33.5959919,-7.6019597,0
AVENUE PASTEUR,casabus,5,33.596227,-7.602487700000001,0
AVENUE REDA GUEDIRA,casabus,3,33.55550390001845,-7.57365205007084,2
AVENUE TADDART,casabus,1,33.53973299999999,-7.617909300000002,0
AVENUE TADDART,casabus,1,33.5404795,-7.6183981,0
AZBANE 1,casabus,4,33.536480299999994,-7.6651715,0
AZBANE 1,casabus,4,33.5369043,-7.6652872,0
AZHAR OULFA,casabus,2,33.543791200006325,-7.687170199991888,0
Angle Avenue Lahraouiyine,casabus,3,33.5537148,-7.576782400000002,1
Angle Avenue Lahraouiyine,casabus,3,33.553943999999994,-7.576226100000001,1
Angle Boulevard Tah/ Mohamed 6,casabus,1,33.5357259,-7.576808399999999,0
BAB AL BAIDA,casabus,1,33.476441200019615,-7.660854850047834,0
BACHAOUIA BOUSKOURA,casabus,3,33.4710004,-7.6381359,0
BACHAOUIA BOUSKOURA,casabus,3,33.4714095,-7.6386802,0
BACHAOUIAT AL AZHAR,casabus,1,33.598999750000765,-7.489071450004651,1
BASATINE AL FIRDAOUS,casabus,1,33.66784000000242,-7.358955050019607,0
BASATINE AL GHOFRANE,casabus,1,33.52308855000423,-7.521930599984074,0
BASSATINE AL OULFA,casabus,1,33.55033715001992,-7.69748320008258,0
BAYTI SAKAN 1,casabus,1,33.68536335000183,-7.342074300016061,0
BD HASSAN 2 MOHAMMEDIA 01,casabus,5,33.6915899,-7.3944385,0
BD HASSAN 2 MOHAMMEDIA 01,casabus,5,33.69188700000001,-7.393535699999999,0
BD HASSAN 2 MOHAMMEDIA 03,casabus,4,33.68766120004172,-7.39937079989511,0
BEAUSEJOUR,casabus,2,33.56445440000001,-7.6462215,0
BEAUSEJOUR,casabus,2,33.5649259,-7.646543499999998,1
BEN HAMOU,casabus,1,33.4581684,-7.516753600000001,0
BEN HAMOU,casabus,1,33.45836320000001,-7.517085999999999,0
BENI MGUILD,casabus,1,33.5711141,-7.604315000000001,0
BLOC 33 LALLA MERIEM,casabus,5,33.560364050005695,-7.552811049973547,0
BNI YAKHLEF,casabus,1,33.6642642,-7.3409352,0
BNI YAKHLEF 2,casabus,1,33.6611444,-7.3425011,0
BOULEVARD 9 AVRIL,casabus,1,33.58226379999999,-7.628301500000001,0
BOULEVARD 9 AVRIL,casabus,1,33.5826329,-7.6293945,0
