name,latitude,longitude,geometry
clinique les crêtes,33.54951355000996,-7.62409200000114,POINT (-7.62409200000114 33.54951355000996)
clinique green town,33.49423164449106,-7.59618654174666,POINT (-7.59618654174666 33.49423164449106)
hopital d'errahma,33.53162339196622,-7.73267840139236,POINT (-7.73267840139236 33.53162339196622)
clinique mersultan,33.580651693234664,-7.613818164413027,POINT (-7.613818164413027 33.580651693234664)
hopital hassani,33.5584440469472,-7.68731139737092,POINT (-7.68731139737092 33.5584440469472)
clinique al wafaa,33.591292580511514,-7.5903533304946915,POINT (-7.5903533304946915 33.591292580511514)
centre de santé al massira 2 (niveau 2),33.580251571665066,-7.566585414833268,POINT (-7.566585414833268 33.580251571665066)
clinique taha,33.55592913515372,-7.625772247092183,POINT (-7.625772247092183 33.55592913515372)
hôpital al mansour,33.60752031789352,-7.50316335979685,POINT (-7.50316335979685 33.60752031789352)
clinique jerrada oasis,33.55639592548778,-7.632356354256379,POINT (-7.632356354256379 33.55639592548778)
hôpital bouafi,33.55910413132996,-7.609979730290242,POINT (-7.609979730290242 33.55910413132996)
centre de sante ain harrouda,33.640067555337254,-7.44878068661878,POINT (-7.44878068661878 33.640067555337254)
hôpital moulay youssef,33.602689403020634,-7.632351824576385,POINT (-7.632351824576385 33.602689403020634)
hôpital mohammed v,33.589365908252454,-7.551654023582984,POINT (-7.551654023582984 33.589365908252454)
