StopName,StopLat,StopLon,NumRoutes
ANGLE RUE BEN LARBI,33.5799482,-7.6539647,4
ANGLE RUE DE DAX,33.5997947,-7.5892508,2
ANGLE RUE DE DAX,33.5998653,-7.5894541,2
ANGLE RUE DE FLORENCE,33.5835144,-7.6121334,3
ANGLE RUE DE FLORENCE,33.5836691,-7.6124496,3
ANGLE RUE DE LA VICTOIRE,33.6013894,-7.5854076,2
ANGLE RUE DE LA VICTOIRE,33.6014214,-7.5857246,2
ANGLE RUE ENNAKHIL,33.5533734,-7.6440311,1
ANGLE RUE ENNAKHIL,33.5537971,-7.6442827,3
ANGLE RUE MAAMOURA,33.6055398,-7.5753694,2
ANGLE RUE MAAMOURA,33.6056308,-7.5755087,2
ANGLE RUE RIF,33.69908,-7.3930102,1
ANGLE RUE RIF,33.6991315,-7.3928389,1
ANGLE RUE SOURZAC,33.5982838,-7.5811946,3
ANGLE RUE SOURZAC,33.598417,-7.5810389,3
ANGLE RUE TAMASKIN,33.575195,-7.6625465,9
ANGLE RUE TIZNIT,33.6849187,-7.4027866,4
ANGLE RUE TIZNIT,33.6850654,-7.4029545,4
ANNEXE FARAH SALAM,33.5400886,-7.6911385,1
ANNEXE FARAH SALAM,33.5403764,-7.6910331,1
AQUAPARC,33.523139,-7.786701,1
AQUAPARC A,33.5232851,-7.7859922,1
ARCHIVE I,33.5128886,-7.6560616,2
ARCHIVE I,33.5129808,-7.6559127,2
ARRET BATA,33.5851989,-7.5775811,4
ARRET BATA,33.5854247,-7.5774358,4
ARRET BEAULIEU,33.6043334,-7.5391144,2
ARRET BEAULIEU,33.6044819,-7.5391423,2
ARRET BENJDIA,33.5848494,-7.607089,3
ARRET BRADAA,33.6999384,-7.3706684,2
ARRET CARDO,33.4246475,-7.5242319,1
ARRET CARDO,33.4247354,-7.5244813,1
ARRET CASCADE 1,33.6434423,-7.408283,1
ARRET CASCADE 1,33.6435856,-7.4082326,1
ARRET CHAABI 1,33.3717377,-7.5445776,1
ARRET CHAABI 1,33.3720414,-7.5446699,1
ARRET CHTAIBA,33.5653837,-7.5713302,2
ARRET CMC,33.5877965,-7.6274868,1
ARRET CMC,33.5891961,-7.6263578,1
ARRET EL BIR,33.3924805,-7.6021358,1
ARRET EL BIR,33.3927848,-7.6019622,1
ARRET HASSAN II,33.5840432,-7.6229782,3
