feature_set,balance_mode,model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
clean_conservative,balanced,LogisticRegression,0.9106900784543951,0.9833994119604267,0.903579661704773,0.9417974159817994,0.9752073973241304
clean_conservative,balanced,RandomForest,0.9737951646474888,0.9975971377887565,0.9695683359102116,0.983382619922313,0.9975039055231756
clean_conservative,balanced,GradientBoosting,0.9660351176815926,0.9784850270253104,0.9790582173203635,0.9787710078318934,0.9929094631836504
clean_enriched,balanced,LogisticRegression,0.9109462560708759,0.9852647971082084,0.9021381614752322,0.9418677597546496,0.9780141015167685
clean_enriched,balanced,RandomForest,0.9695255377061429,0.997062161909626,0.9647366239704734,0.9806325202147791,0.9967128105982213
clean_enriched,balanced,GradientBoosting,0.9658323104018786,0.9784283908471636,0.9788579859446562,0.9786423937499216,0.992950349243195
