feature_set,balance_mode,model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
clean_conservative,unbalanced,LogisticRegression,0.9329775310882212,0.9553562251686494,0.9611061862716962,0.9582218925189563,0.9757298692430544
clean_conservative,unbalanced,RandomForest,0.9843411431926136,0.9917530494816467,0.9886415272720666,0.9901947075706152,0.9982353502508008
clean_conservative,unbalanced,GradientBoosting,0.9660351176815926,0.9784850270253104,0.9790582173203635,0.9787710078318934,0.9929094631836504
clean_enriched,unbalanced,LogisticRegression,0.9370763729519134,0.9616773230413177,0.9595579473404708,0.9606158784185583,0.9783243665204356
clean_enriched,unbalanced,RandomForest,0.9803170198003951,0.9885289990544811,0.9868396470861323,0.9876834640628731,0.9975690004864004
clean_enriched,unbalanced,GradientBoosting,0.9658323104018786,0.9784283908471636,0.9788579859446562,0.9786423937499216,0.992950349243195
