name,lat,lon,nearest_bus_m,nearest_bus_km,nearest_bus_name,bus_within_500m,bus_within_1km,bus_within_2km
Polyclinique de la Sécurité sociale,33.57085276501952,-7.622950527578939,142.98862616687356,0.14298862616687355,LYCEE LAHLOU,4,17,77
Clinique El Amine,33.57041568223584,-7.620489196179961,306.5464947057403,0.3065464947057403,LYCEE LAHLOU,3,17,76
Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan,33.55242937139909,-7.6683673842327,114.84011579225461,0.1148401157922546,HOPITAL CHEIKH KHALIFA,2,8,57
Clinical Abbadi,33.56966106189876,-7.661638730921235,88.83489744204527,0.08883489744204527,CLINIQUE ABBADI,3,13,54
Clinique CIL,33.569146679299365,-7.660837763378024,29.418797070028454,0.029418797070028455,CLINIQUE ABBADI,2,13,53
International Clinic,33.56944737439043,-7.618755862439232,342.2983702043407,0.3422983702043407,GENDARMERIE MY IDRISS I,2,17,72
Clinique Riviera,33.56669850001627,-7.638882850027072,156.80564071656534,0.15680564071656533,ANGLE BOLEVARD STENDAL GHANDI,5,22,62
Cinique Al Karim Medecine Physique,33.561652609656235,-7.617353722887663,200.3392689736316,0.20033926897363158,CLINIQUE DAR SALAM,2,9,67
Cinique Multidisciplinaire,33.56314485869003,-7.635495524635421,183.11893792017378,0.18311893792017378,ECOLE EL OUADGHIRI,6,23,57
Clinique Californie,33.546672268691346,-7.6308459270772016,108.27760391891437,0.10827760391891436,BOULEVARD DE LA MECQUE,2,8,33
Hopital Sidi Othmane,33.55854720556028,-7.5730264646667935,127.85804596116859,0.1278580459611686,4EME ARRONDISSEMENT,7,19,75
Hôpital Sekkat,33.54605773943877,-7.588622488077647,382.4038829667336,0.3824038829667336,HAY JAMILA 2,3,22,72
HOPITAL UNIVERSITAIRE DE PROXIMITE,33.54050707960877,-7.597637266137161,111.2425636051889,0.1112425636051889,POLYCLINIQUE CNSS INARA,4,15,53
Centre de Santé Derb el Kheir,33.5498334343254,-7.591374791701641,90.80871503601382,0.09080871503601383,MOSQUEE YACOUT,5,21,70
Polyclinique ِCNSS Sidi Bernoussi,33.61074841298405,-7.500801741294186,99.86058572966853,0.09986058572966852,POLYCLINIQUE CNSS BERNOUSSI,7,15,39
Clinique Ain Chock,33.54914320176087,-7.602540026227011,31.167174765385145,0.031167174765385143,CLINIQUE AIN CHOC,8,17,59
Ajial Hôpital Pédiatrique,33.55210972506478,-7.608269259633504,138.33313719229278,0.1383331371922928,PANORAMIQUE,3,14,56
Centre Hospitalier Préfectoral de Ben M'Sick,33.55233793198779,-7.577997816932463,77.71366778763601,0.07771366778763601,RUE BEN KACEM ADDAHMANI,3,23,78
Polyclinique CNSS Hay Hassani مصحة الضمان الإجتماعي الحي الحسني,33.56712676339928,-7.668455630399424,79.32923022255343,0.07932923022255343,POLYCLINIQUE CNSS OUM RABIA,5,20,55
Hôpital Municipal sidi moumen Tacharouk,33.57527123070483,-7.524914619282542,246.93544324092161,0.24693544324092162,OFPPT SIDI MOUMEN,3,11,43
Clinique Adoha,33.59704415596668,-7.522044369876583,192.0195814739619,0.1920195814739619,BOULEVARD IMAM ALI,1,11,34
Hôpital général de Casablanca Azhar-Bernoussi,33.59923321543063,-7.483485369743223,104.18332225225053,0.10418332225225053,BOULEVARD AL MAGHRIB AL ARABI,4,8,29
Clinique Al Amal,33.57255343106101,-7.553163115267273,96.12764159000335,0.09612764159000335,HAY SADRI,1,12,55
Complexe Medico-Social Al Wouroud,33.5604183443511,-7.609498781254182,127.95141643522562,0.12795141643522562,MOSQUEE SONNA,5,16,66
Clinique Les Crêtes,33.54951355000996,-7.62409200000114,90.61866428351912,0.09061866428351913,KRIMATE,5,8,34
Avicenne Clinique des Spécialistes,33.55435080480775,-7.611018798099777,358.61475157439537,0.3586147515743954,MOSQUEE TAHA,2,12,55
Clinique Mersultan,33.580651693234664,-7.613818164413027,297.2185738908976,0.29721857389089756,LYCEE MOHAMED V,4,15,79
hopital hassani,33.5584440469472,-7.68731139737092,219.03226771214224,0.21903226771214224,COLLEGE MOULOUYA,5,20,68
ATLANTIC CLINIC CASABLANCA,33.591292580511514,-7.5903533304946915,310.37228687165026,0.31037228687165025,GARE DE CASA VOYAGEURS,2,11,43
Clinique Al Mouahhidine,33.580251571665066,-7.566585414833268,278.018653959188,0.278018653959188,OULED HARRES,3,10,48
Clinique Taha مصحة طه,33.55592913515372,-7.625772247092183,340.64680835739557,0.3406468083573956,LES JARDINS DE BALI,4,14,49
HGC Hôpital Général de Casablanca,33.59840290086962,-7.488992379115019,66.58161656155129,0.06658161656155129,BACHAOUIAT AL AZHAR,5,10,32
Hôpital AL mansour,33.60752031789352,-7.50316335979685,87.85615850114552,0.08785615850114552,HOPITAL EL MANSOUR,5,12,42
Clinique Jerrada Oasis,33.55639592548778,-7.632356354256379,188.22524178634063,0.18822524178634062,GARE ONCF DE L'OASIS,5,14,48
مستشفى الوفاء,33.575036555386376,-7.553735143925716,308.4458138697848,0.3084458138697848,HAY SADRI,4,12,50
المركز الصحي المسيرة 2 (المستوى التاني),33.572502133136695,-7.546941357778492,399.4443909504366,0.3994443909504366,BOUZIANE,2,16,51
Hôpital Bouafi,33.55910413132996,-7.609979730290242,275.64083277401505,0.2756408327740151,HOPITAL BOUAFI,4,17,63
Hôpital Moulay Youssef مستشفى مولاي يوسف,33.602689403020634,-7.632351824576385,78.15145647433837,0.07815145647433837,TERMINUS HOPITAL SOFI,6,16,56
Hôpital Mohammed V مستشفى محمد الخامس,33.589365908252454,-7.551654023582984,498.20011372669245,0.49820011372669243,RESIDENCE ELMOUAHIDINE,1,8,41
Institut Pasteur معهد باستور,33.57389811973825,-7.623646874251736,202.16511582140214,0.20216511582140215,INSTITUT PASTEUR,7,20,79
