name,lat,lon,nearest_hosp_m,nearest_hosp_km,nearest_hosp
ANGLE CHEMIN DES PIVOINES,33.588940300000004,-7.5457911499999994,95.59863270099747,0.09559863270099747,clinique Elmouahidin
ANGLE MOHAMED 6/11 JANVIER,33.69750715,-7.36599925,15408.559629569558,15.408559629569558,Hôpital général de Casablanca Azhar-Bernoussi
ANGLE N9 / P3015,33.5110441,-7.4978311,7552.052584175745,7.552052584175746,Hôpital Municipal sidi moumen Tacharouk
ANGLE N9 / P3016,33.5280701,-7.4944851,5947.14959266726,5.94714959266726,Hôpital Municipal sidi moumen Tacharouk
ANGLE OUED DAHAB / AL JOULANE,33.54634045,-7.56426755,1437.6950852503592,1.4376950852503592,Centre Hospitalier Préfectoral de Ben M'Sick
ANGLE POMME D'OR,33.5497107,-7.6201937,362.5630536507419,0.3625630536507419,Clinique Les Crêtes
ANGLE ROUTE N1/P3032,33.50907855,-7.7052814000000005,5126.931474390945,5.126931474390945,Clinic Lina
ANGLE RUE BEN LARBI,33.57980095,-7.65403515,276.1772187744215,0.2761772187744215,Clinique Ghandi مصحة غاندي
ANGLE RUE DE DAX,33.59983,-7.58935245,951.137989427302,0.9511379894273021,ATLANTIC CLINIC CASABLANCA
ANGLE RUE DE FLORENCE,33.58359175,-7.6122914999999995,242.069803647902,0.242069803647902,Clinique Zarhoun
ANGLE RUE DE LA VICTOIRE,33.601405400000004,-7.585566099999999,1206.0454566063909,1.206045456606391,ATLANTIC CLINIC CASABLANCA
ANGLE RUE ENNAKHIL,33.55358525,-7.6441569000000005,821.7419566107237,0.8217419566107237,Clinique Attal
ANGLE RUE MAAMOURA,33.6055853,-7.57543905,2103.869476381381,2.103869476381381,ATLANTIC CLINIC CASABLANCA
ANGLE RUE RIF,33.69910575,-7.39292455,13897.72791405996,13.89772791405996,Hôpital général de Casablanca Azhar-Bernoussi
ANGLE RUE SOURZAC,33.5983504,-7.58111675,1160.5594752248403,1.1605594752248403,ATLANTIC CLINIC CASABLANCA
ANGLE RUE TAMASKIN,33.575195,-7.6625465,619.3337224024743,0.6193337224024743,Clinical Abbadi
ANGLE RUE TIZNIT,33.68499205,-7.402870549999999,12095.729528790316,12.095729528790317,Hôpital général de Casablanca Azhar-Bernoussi
ANNEXE FARAH SALAM,33.5402325,-7.6910858,2049.375167248661,2.049375167248661,hopital hassani
AQUAPARC,33.523139,-7.786701,10023.802581928674,10.023802581928674,hopital hassani
AQUAPARC A,33.5232851,-7.7859922,9956.892028909642,9.956892028909643,hopital hassani
ARCHIVE I,33.5129347,-7.65598715,867.4734203871207,0.8674734203871206,Clinic Lina
ARRET BATA,33.5853118,-7.57750845,1158.5796777420442,1.158579677742044,Clinique Al Mouahhidine
ARRET BEAULIEU,33.60440765,-7.53912835,973.7181556903519,0.9737181556903519,clinique ain saba3
ARRET BENJDIA,33.5848494,-7.607089,664.5955304308345,0.6645955304308345,Clinique Zarhoun
ARRET BRADAA,33.6999384,-7.3706684,15301.0230808409,15.3010230808409,Hôpital général de Casablanca Azhar-Bernoussi
ARRET CARDO,33.42469145,-7.5243566,14534.086766366938,14.534086766366938,HOPITAL UNIVERSITAIRE DE PROXIMITE
ARRET CASCADE 1,33.64351395,-7.4082577999999994,8532.239624954467,8.532239624954467,Hôpital général de Casablanca Azhar-Bernoussi
ARRET CHAABI 1,33.37188955,-7.5446237499999995,19181.402510985965,19.181402510985965,Clinic Lina
ARRET CHTAIBA,33.5653837,-7.5713302,774.1760601656206,0.7741760601656206,Hopital Sidi Othmane
ARRET CMC,33.5884963,-7.6269223,251.0565612841522,0.2510565612841522,Polyclinique Atlas مصحة اطلس
ARRET EL BIR,33.392632649999996,-7.602049,14836.248559249088,14.83624855924909,Clinic Lina
ARRET HASSAN II,33.5840432,-7.6229782,286.3794860297244,0.28637948602972435,Clinical Les Fleurs
ARRET ISCAE,33.5267629,-7.6357358,1660.6973060071005,1.6606973060071004,Clinic Lina
ARRET KM15,33.63236015,-7.4706250999999995,3684.6032300849593,3.684603230084959,Hospital CNSS
ARRET KOREA,33.562379500000006,-7.5958448999999995,1285.921608333315,1.285921608333315,Complexe Medico-Social Al Wouroud
ARRET L'AUBERGE 1,33.6513067,-7.4764008,5034.066445999716,5.034066445999716,Hospital CNSS
ARRET LAARJA,33.65977705,-7.4386498,7896.627249606333,7.8966272496063326,Hôpital général de Casablanca Azhar-Bernoussi
ARRET LAMJADBA 1,33.6142229,-7.3607762,11505.088915905862,11.505088915905862,Hôpital général de Casablanca Azhar-Bernoussi
ARRET LFARFARA,33.5431753,-7.7105022,2738.7985995952176,2.7387985995952175,hopital hassani
ARRET MDAKRA,33.5816649,-7.5625785,403.5231660029572,0.40352316600295723,Clinique Al Mouahhidine
