name,latitude,longitude,geometry
Hôpital Municipal sidi moumen Tacharouk,33.57527123070483,-7.524914619282542,POINT (-7.524914619282542 33.57527123070483)
Clinique Adoha,33.59704415596668,-7.522044369876583,POINT (-7.522044369876583 33.59704415596668)
Hôpital général de Casablanca Azhar-Bernoussi,33.59923321543063,-7.483485369743223,POINT (-7.483485369743223 33.59923321543063)
Clinique Al Amal,33.57255343106101,-7.553163115267273,POINT (-7.553163115267273 33.57255343106101)
Complexe Medico-Social Al Wouroud,33.5604183443511,-7.609498781254182,POINT (-7.609498781254182 33.5604183443511)
Clinique Les Crêtes,33.54951355000996,-7.62409200000114,POINT (-7.62409200000114 33.54951355000996)
hopital hassani,33.5584440469472,-7.68731139737092,POINT (-7.68731139737092 33.5584440469472)
ATLANTIC CLINIC CASABLANCA,33.591292580511514,-7.5903533304946915,POINT (-7.5903533304946915 33.591292580511514)
Clinique Al Mouahhidine,33.580251571665066,-7.566585414833268,POINT (-7.566585414833268 33.580251571665066)
Clinique Taha,33.55592913515372,-7.625772247092183,POINT (-7.625772247092183 33.55592913515372)
HGC Hôpital Général de Casablanca,33.59840290086962,-7.488992379115019,POINT (-7.488992379115019 33.59840290086962)
Hôpital AL mansour,33.60752031789352,-7.50316335979685,POINT (-7.50316335979685 33.60752031789352)
Clinique Jerrada Oasis,33.55639592548778,-7.632356354256379,POINT (-7.632356354256379 33.55639592548778)
Clinique Al Wafaa,33.572502133136695,-7.546941357778492,POINT (-7.546941357778492 33.572502133136695)
Centre de Santé Al Massira 2 (Niveau 2),33.55910413132996,-7.609979730290242,POINT (-7.609979730290242 33.55910413132996)
Hôpital Moulay Youssef,33.602689403020634,-7.632351824576385,POINT (-7.632351824576385 33.602689403020634)
Hôpital Mohammed V,33.589365908252454,-7.551654023582984,POINT (-7.551654023582984 33.589365908252454)
