element,id,name,amenity,geometry,point_geom,lon,lat,longitude,latitude
way,369523440,Centre de procréation medicalement assistée,clinic,"POLYGON ((-7.9939405 31.6257454, -7.993892 31.6257158, -7.9939532 31.6256432, -7.993974 31.6256559, -7.9940017 31.6256728, -7.9939405 31.6257454))",POINT (-7.99394685 31.6256943),-7.99394685,31.6256943,-7.99394685,31.6256943
way,390401950,Clinique Nakhil مصحة النخيل,hospital,"POLYGON ((-8.0123509 31.6409531, -8.0122992 31.6407896, -8.012058 31.6408483, -8.0120752 31.6409111, -8.0120395 31.6411427, -8.0121293 31.6413545, -8.0123094 31.6412994, -8.0123743 31.6412762, -8.0122796 31.6410662, -8.012378 31.641039, -8.0123509 31.6409531))",POINT (-8.012171122488898 31.64110445),-8.012171122488898,31.64110445,-8.012171122488898,31.64110445
way,584436482,Clinique Internationale de Marrakech,hospital,"POLYGON ((-7.9969919 31.6130102, -7.9968121 31.6130875, -7.9967852 31.6130421, -7.996763 31.6130516, -7.9964919 31.6125943, -7.9967506 31.612483, -7.9970119 31.6129237, -7.9969551 31.6129482, -7.9969919 31.6130102))",POINT (-7.996751892350638 31.612759),-7.996751892350638,31.612759,-7.996751892350638,31.612759
way,589942599,Centre Hospitalier Universitaire Mohammed VI,hospital,"POLYGON ((-7.9964653 31.6644385, -7.9964847 31.6650391, -7.9961185 31.6650477, -7.9961178 31.6650269, -7.995794 31.6650344, -7.9957896 31.6648995, -7.9956946 31.6649017, -7.9956974 31.6649891, -7.99548 31.6649942, -7.9954744 31.6648206, -7.9953644 31.6648232, -7.9953719 31.6650559, -7.9952065 31.6650598, -7.9951872 31.664462, -7.9953778 31.6644575, -7.9953862 31.6647158, -7.9954667 31.6647139, -7.9954625 31.6645837, -7.9956945 31.6645783, -7.9956948 31.6645864, -7.9957672 31.6645847, -7.995763 31.6644549, -7.9964653 31.6644385))",POINT (-7.995836517665589 31.664768199999997),-7.995836517665589,31.664768199999997,-7.995836517665589,31.664768199999997
way,591102747,,hospital,"POLYGON ((-8.0382104 31.595144, -8.0381344 31.5949827, -8.0383791 31.5948991, -8.0384551 31.5950604, -8.0382104 31.595144))",POINT (-8.038294749999999 31.59502155),-8.038294749999999,31.59502155,-8.038294749999999,31.59502155
way,593873204,Clinique Le Marrakech,hospital,"POLYGON ((-8.0514442 31.6537779, -8.0507214 31.6541048, -8.050479 31.6542122, -8.0502454 31.6538305, -8.0503196 31.6537975, -8.0502746 31.6537241, -8.050231 31.653654, -8.0504002 31.6534822, -8.0506075 31.6533258, -8.0509367 31.6531616, -8.0514442 31.6537779))",POINT (-8.050811917674022 31.65368905),-8.050811917674022,31.65368905,-8.050811917674022,31.65368905
way,593873242,Urgences: Cardiologiques Centre de la Douleur,hospital,"POLYGON ((-8.0484817 31.6497395, -8.0482775 31.6498519, -8.0481038 31.6496231, -8.048308 31.6495107, -8.0484817 31.6497395))",POINT (-8.048292749999998 31.649681299999997),-8.048292749999998,31.649681299999997,-8.048292749999998,31.649681299999997
way,789197469,Clinique Toubkal,hospital,"POLYGON ((-8.0540613 31.6498262, -8.0544841 31.6499706, -8.0546875 31.649539, -8.0542648 31.6493946, -8.0540613 31.6498262))",POINT (-8.054374416635774 31.6496826),-8.054374416635774,31.6496826,-8.054374416635774,31.6496826
way,789241701,Hopital Militaire Avicenne,hospital,"POLYGON ((-8.021433 31.6336812, -8.0204806 31.6340829, -8.0204629 31.6351115, -8.0207319 31.6356333, -8.0210802 31.6358135, -8.0229542 31.6351302, -8.0227103 31.6345744, -8.0223988 31.6346109, -8.0221496 31.634286, -8.0216629 31.6338152, -8.0215383 31.6337058, -8.021433 31.6336812))",POINT (-8.021651681342872 31.6348612),-8.021651681342872,31.6348612,-8.021651681342872,31.6348612
way,789242646,Hôpital El Antaki مستشفى الأنطاكي,hospital,"POLYGON ((-7.985226 31.6364217, -7.9849471 31.637103, -7.9842655 31.6369008, -7.9845443 31.6362195, -7.985226 31.6364217))",POINT (-7.984745732419639 31.63666125),-7.984745732419639,31.63666125,-7.984745732419639,31.63666125
way,1181727857,Centre de Santé,hospital,"POLYGON ((-7.9721271 31.618347, -7.9720503 31.6181865, -7.9716634 31.6183209, -7.9717402 31.6184813, -7.9721271 31.618347))",POINT (-7.971895251946536 31.61833395),-7.971895251946536,31.61833395,-7.971895251946536,31.61833395
way,1320549590,Clinique Lemsalah,hospital,"POLYGON ((-7.9704368 31.6121797, -7.9702837 31.6116445, -7.9690401 31.6119556, -7.9693087 31.6124862, -7.9704368 31.6121797))",POINT (-7.969750784356925 31.61206765),-7.969750784356925,31.61206765,-7.969750784356925,31.61206765
